keyword,valence,score,reviewer
compliance,stigmatizing,1,SE
compliance,stigmatizing,1,NE
compliance,stigmatizing,2,RC
compliance,stigmatizing,2,IB
noncooperative,stigmatizing,1,SE
noncooperative,stigmatizing,1,NE
noncooperative,stigmatizing,1,RC
noncooperative,stigmatizing,2,IB
report,stigmatizing,2,SE
report,stigmatizing,4,NE
report,stigmatizing,3,RC
report,stigmatizing,3,IB
resist,stigmatizing,1,SE
resist,stigmatizing,1,NE
resist,stigmatizing,2,RC
resist,stigmatizing,2,IB
say,stigmatizing,2,SE
say,stigmatizing,3,NE
say,stigmatizing,2,RC
say,stigmatizing,2,IB
sedentary,stigmatizing,3,SE
sedentary,stigmatizing,2,NE
sedentary,stigmatizing,2,RC
sedentary,stigmatizing,3,IB
inactive,stigmatizing,2,SE
inactive,stigmatizing,2,NE
inactive,stigmatizing,2,RC
inactive,stigmatizing,3,IB
supposedly,stigmatizing,1,SE
supposedly,stigmatizing,1,NE
supposedly,stigmatizing,1,RC
supposedly,stigmatizing,1,IB
tell,stigmatizing,3,SE
tell,stigmatizing,5,NE
tell,stigmatizing,3,RC
tell,stigmatizing,2,IB
undisciplined,stigmatizing,1,SE
undisciplined,stigmatizing,1,NE
undisciplined,stigmatizing,1,RC
undisciplined,stigmatizing,1,IB
groomed,stigmatizing,1,SE
groomed,stigmatizing,1,NE
groomed,stigmatizing,1,RC
groomed,stigmatizing,2,IB
informed,stigmatizing,1,SE
informed,stigmatizing,1,NE
informed,stigmatizing,1,RC
informed,stigmatizing,1,IB
unkempt,stigmatizing,1,SE
unkempt,stigmatizing,2,NE
unkempt,stigmatizing,1,RC
unkempt,stigmatizing,2,IB
motivated,stigmatizing,1,SE
motivated,stigmatizing,1,NE
motivated,stigmatizing,1,RC
motivated,stigmatizing,1,IB
pleasant,stigmatizing,1,SE
pleasant,stigmatizing,1,NE
pleasant,stigmatizing,1,RC
pleasant,stigmatizing,1,IB
unreliable,stigmatizing,1,SE
unreliable,stigmatizing,1,NE
unreliable,stigmatizing,1,RC
unreliable,stigmatizing,2,IB
skilled,stigmatizing,1,SE
skilled,stigmatizing,2,NE
skilled,stigmatizing,1,RC
skilled,stigmatizing,1,IB
willing,stigmatizing,1,SE
willing,stigmatizing,1,NE
willing,stigmatizing,1,RC
willing,stigmatizing,2,IB
quotations,stigmatizing,1,SE
quotations,stigmatizing,2,NE
quotations,stigmatizing,1,RC
quotations,stigmatizing,2,IB
engage,privileging,4,NE
engage,privileging,1,RC
engage,privileging,2,IB
manage,privileging,3,NE
manage,privileging,2,RC
manage,privileging,2,IB
involve,privileging,3,NE
involve,privileging,2,RC
involve,privileging,2,IB
pleasant,privileging,2,NE
pleasant,privileging,1,RC
pleasant,privileging,2,IB
dressed,privileging,1,NE
dressed,privileging,1,RC
dressed,privileging,3,IB
groomed,privileging,1,NE
groomed,privileging,1,RC
groomed,privileging,3,IB
happy,privileging,3,NE
happy,privileging,1,RC
happy,privileging,1,IB
friendly,privileging,1,NE
friendly,privileging,1,RC
friendly,privileging,1,IB
cordial,privileging,1,NE
cordial,privileging,1,RC
cordial,privileging,2,IB
support_system,privileging,4,NE
support_system,privileging,1,RC
support_system,privileging,3,IB
employed,privileging,5,NE
employed,privileging,1,RC
employed,privileging,3,IB
motivated,privileging,2,NE
motivated,privileging,1,RC
motivated,privileging,2,IB
charming,privileging,1,NE
charming,privileging,1,RC
charming,privileging,1,IB
inspiring,privileging,3,NE
inspiring,privileging,1,RC
inspiring,privileging,1,IB
kind,privileging,2,NE
kind,privileging,1,RC
kind,privileging,1,IB
good_insight,privileging,3,NE
good_insight,privileging,1,RC
good_insight,privileging,3,IB
knowledgable,privileging,4,NE
knowledgable,privileging,1,RC
knowledgable,privileging,3,IB
informed,privileging,4,NE
informed,privileging,1,RC
informed,privileging,2,IB
skilled,privileging,1,RC
skilled,privileging,1,IB
healthy,privileging,3,NE
healthy,privileging,1,RC
healthy,privileging,2,IB
disciplined,privileging,1,NE
disciplined,privileging,1,RC
disciplined,privileging,1,IB
active,privileging,5,NE
active,privileging,1,RC
active,privileging,3,IB
educated,privileging,1,NE
educated,privileging,2,RC
educated,privileging,2,IB
adherence,privileging,5,NE
adherence,privileging,2,RC
adherence,privileging,3,IB
compliance,privileging,1,NE
compliance,privileging,2,RC
compliance,privileging,3,IB
willing,privileging,1,NE
willing,privileging,2,RC
willing,privileging,3,IB
